港口,货物,年份,月份,吞吐量
南通港,三钙,2020,1,2355
南通港,三钙,2020,2,1864
南通港,三钙,2020,3,2369
南通港,三钙,2020,4,1398
南通港,三钙,2020,5,2687
南通港,三钙,2020,6,1349
南通港,三钙,2020,7,2391
南通港,三钙,2020,8,1752
南通港,三钙,2020,9,2430
南通港,三钙,2020,10,2658
南通港,三钙,2020,11,1356
南通港,三钙,2020,12,2626
南通港,三钙,2021,1,2214
南通港,三钙,2021,2,2371
南通港,三钙,2021,3,1565
南通港,三钙,2021,4,2104
南通港,三钙,2021,5,1896
南通港,三钙,2021,6,2263
南通港,三钙,2021,7,1392
南通港,三钙,2021,8,1385
南通港,三钙,2021,9,2784
南通港,三钙,2021,10,2011
南通港,三钙,2021,11,3597
南通港,三钙,2021,12,1165
南通港,三钙,2022,1,3675
南通港,三钙,2022,2,1854
南通港,三钙,2022,3,4258
南通港,三钙,2022,4,3612
南通港,三钙,2022,5,1869
南通港,三钙,2022,6,3715
南通港,三钙,2022,7,1307
南通港,三钙,2022,8,935
南通港,三钙,2022,9,2737
南通港,三钙,2022,10,1923
南通港,三钙,2022,11,2864
南通港,三钙,2022,12,2308
南通港,单氟磷酸钠,2020,1,1238
南通港,单氟磷酸钠,2020,2,3116
南通港,单氟磷酸钠,2020,3,1381
南通港,单氟磷酸钠,2020,4,1699
南通港,单氟磷酸钠,2020,5,2424
南通港,单氟磷酸钠,2020,6,3095
南通港,单氟磷酸钠,2020,7,802
南通港,单氟磷酸钠,2020,8,2187
南通港,单氟磷酸钠,2020,9,1722
南通港,单氟磷酸钠,2020,10,1752
南通港,单氟磷酸钠,2020,11,1724
南通港,单氟磷酸钠,2020,12,2704
南通港,单氟磷酸钠,2021,1,2538
南通港,单氟磷酸钠,2021,2,1041
南通港,单氟磷酸钠,2021,3,1965
南通港,单氟磷酸钠,2021,4,2106
南通港,单氟磷酸钠,2021,5,2242
南通港,单氟磷酸钠,2021,6,2954
南通港,单氟磷酸钠,2021,7,1886
南通港,单氟磷酸钠,2021,8,548
南通港,单氟磷酸钠,2021,9,1687
南通港,单氟磷酸钠,2021,10,822
南通港,单氟磷酸钠,2021,11,743
南通港,单氟磷酸钠,2021,12,1293
南通港,单氟磷酸钠,2022,1,2603
南通港,单氟磷酸钠,2022,2,1223
南通港,单氟磷酸钠,2022,3,2733
南通港,单氟磷酸钠,2022,4,2737
南通港,单氟磷酸钠,2022,5,1633
南通港,单氟磷酸钠,2022,6,1859
南通港,单氟磷酸钠,2022,7,3113
南通港,单氟磷酸钠,2022,8,979
南通港,单氟磷酸钠,2022,9,1060
南通港,单氟磷酸钠,2022,10,1237
南通港,单氟磷酸钠,2022,11,1827
南通港,单氟磷酸钠,2022,12,2397
南通港,原油,2020,1,2768
南通港,原油,2020,2,2670
南通港,原油,2020,3,2362
南通港,原油,2020,4,1355
南通港,原油,2020,5,1129
南通港,原油,2020,6,2410
南通港,原油,2020,7,2167
南通港,原油,2020,8,2088
南通港,原油,2020,9,1832
南通港,原油,2020,10,463
南通港,原油,2020,11,1331
南通港,原油,2020,12,1334
南通港,原油,2021,1,3544
南通港,原油,2021,2,2166
南通港,原油,2021,3,1594
南通港,原油,2021,4,1280
南通港,原油,2021,5,2662
南通港,原油,2021,6,1336
南通港,原油,2021,7,1885
南通港,原油,2021,8,2694
南通港,原油,2021,9,3204
南通港,原油,2021,10,1121
南通港,原油,2021,11,2559
南通港,原油,2021,12,3135
南通港,原油,2022,1,2886
南通港,原油,2022,2,2782
南通港,原油,2022,3,2297
南通港,原油,2022,4,1704
南通港,原油,2022,5,727
南通港,原油,2022,6,3367
南通港,原油,2022,7,1274
南通港,原油,2022,8,2128
南通港,原油,2022,9,2228
南通港,原油,2022,10,2369
南通港,原油,2022,11,1676
南通港,原油,2022,12,3358
南通港,原煤,2020,1,1769
南通港,原煤,2020,2,1458
南通港,原煤,2020,3,2686
南通港,原煤,2020,4,1894
南通港,原煤,2020,5,1200
南通港,原煤,2020,6,2641
南通港,原煤,2020,7,1559
南通港,原煤,2020,8,2431
南通港,原煤,2020,9,3042
南通港,原煤,2020,10,1529
南通港,原煤,2020,11,1513
南通港,原煤,2020,12,2393
南通港,原煤,2021,1,586
南通港,原煤,2021,2,2015
南通港,原煤,2021,3,3186
南通港,原煤,2021,4,1650
南通港,原煤,2021,5,2897
南通港,原煤,2021,6,1643
南通港,原煤,2021,7,1102
南通港,原煤,2021,8,694
南通港,原煤,2021,9,923
南通港,原煤,2021,10,2363
南通港,原煤,2021,11,268
南通港,原煤,2021,12,1031
南通港,原煤,2022,1,2491
南通港,原煤,2022,2,2653
南通港,原煤,2022,3,2182
南通港,原煤,2022,4,2310
南通港,原煤,2022,5,1534
南通港,原煤,2022,6,2737
南通港,原煤,2022,7,2252
南通港,原煤,2022,8,2679
南通港,原煤,2022,9,1815
南通港,原煤,2022,10,950
南通港,原煤,2022,11,3066
南通港,原煤,2022,12,2406
南通港,大豆,2020,1,1774
南通港,大豆,2020,2,2323
南通港,大豆,2020,3,2267
南通港,大豆,2020,4,2267
南通港,大豆,2020,5,2398
南通港,大豆,2020,6,3097
南通港,大豆,2020,7,1118
南通港,大豆,2020,8,1681
南通港,大豆,2020,9,2063
南通港,大豆,2020,10,2674
南通港,大豆,2020,11,2284
南通港,大豆,2020,12,4161
南通港,大豆,2021,1,2975
南通港,大豆,2021,2,2113
南通港,大豆,2021,3,2495
南通港,大豆,2021,4,1628
南通港,大豆,2021,5,1159
南通港,大豆,2021,6,1135
南通港,大豆,2021,7,2797
南通港,大豆,2021,8,4757
南通港,大豆,2021,9,2098
南通港,大豆,2021,10,2305
南通港,大豆,2021,11,1838
南通港,大豆,2021,12,3652
南通港,大豆,2022,1,1077
南通港,大豆,2022,2,2420
南通港,大豆,2022,3,2143
南通港,大豆,2022,4,3227
南通港,大豆,2022,5,754
南通港,大豆,2022,6,1720
南通港,大豆,2022,7,827
南通港,大豆,2022,8,737
南通港,大豆,2022,9,1580
南通港,大豆,2022,10,235
南通港,大豆,2022,11,2927
南通港,大豆,2022,12,2352
南通港,大豆油,2020,1,1530
南通港,大豆油,2020,2,2264
南通港,大豆油,2020,3,1038
南通港,大豆油,2020,4,2716
南通港,大豆油,2020,5,1417
南通港,大豆油,2020,6,1754
南通港,大豆油,2020,7,1799
南通港,大豆油,2020,8,1811
南通港,大豆油,2020,9,3553
南通港,大豆油,2020,10,519
南通港,大豆油,2020,11,2208
南通港,大豆油,2020,12,1534
南通港,大豆油,2021,1,2893
南通港,大豆油,2021,2,2678
南通港,大豆油,2021,3,2195
南通港,大豆油,2021,4,2301
南通港,大豆油,2021,5,2323
南通港,大豆油,2021,6,3116
南通港,大豆油,2021,7,3381
南通港,大豆油,2021,8,3406
南通港,大豆油,2021,9,2280
南通港,大豆油,2021,10,1839
南通港,大豆油,2021,11,1424
南通港,大豆油,2021,12,1154
南通港,大豆油,2022,1,1194
南通港,大豆油,2022,2,3274
南通港,大豆油,2022,3,854
南通港,大豆油,2022,4,2288
南通港,大豆油,2022,5,1031
南通港,大豆油,2022,6,2910
南通港,大豆油,2022,7,1852
南通港,大豆油,2022,8,2976
南通港,大豆油,2022,9,2374
南通港,大豆油,2022,10,2587
南通港,大豆油,2022,11,1186
南通港,大豆油,2022,12,2776
南通港,大豆粉,2020,1,1619
南通港,大豆粉,2020,2,1400
南通港,大豆粉,2020,3,923
南通港,大豆粉,2020,4,2137
南通港,大豆粉,2020,5,1240
南通港,大豆粉,2020,6,2219
南通港,大豆粉,2020,7,3412
南通港,大豆粉,2020,8,1220
南通港,大豆粉,2020,9,1342
南通港,大豆粉,2020,10,3005
南通港,大豆粉,2020,11,3270
南通港,大豆粉,2020,12,2480
南通港,大豆粉,2021,1,2620
南通港,大豆粉,2021,2,3389
南通港,大豆粉,2021,3,1513
南通港,大豆粉,2021,4,4129
南通港,大豆粉,2021,5,1865
南通港,大豆粉,2021,6,4034
南通港,大豆粉,2021,7,4123
南通港,大豆粉,2021,8,2367
南通港,大豆粉,2021,9,3215
南通港,大豆粉,2021,10,3191
南通港,大豆粉,2021,11,2076
南通港,大豆粉,2021,12,3886
南通港,大豆粉,2022,1,1473
南通港,大豆粉,2022,2,1426
南通港,大豆粉,2022,3,2141
